Date,Title,Price,Star,Reviews,Brand,CPU,CPU_Segment,CPU_Segment_Detail,GPU,RAM,SSD,Screen_inch,Panel,OLED,Screen_HZ,Color,Link
20251113,"HP - Victus 15.6"" 144Hz Full HD Gaming Laptop - AMD Ryzen 7 7445HS - 16GB Memory - NVIDIA GeForce RTX 4050 - 512GB SSD - Mica Silver",549.99,4.6,387,HP,AMD Ryzen 7 7445HS,Ryzen 7,Ryzen 7 7445HS,RTX 4050,16,512GB,15.6,FULLHD,,144,Mica Silver,https://www.bestbuy.com/product/hp-victus-15-6-144hz-full-hd-gaming-laptop-amd-ryzen-7-7445hs-16gb-memory-nvidia-geforce-rtx-4050-512gb-ssd-mica-silver/JJGH2L8JVV/sku/6623881
20251113,"ACEMAGIC - LX15Pro - 15.6"" Gaming Laptop - AMD Ryzen 5 7430U(8C/16T) - Radeon RX Vega 8 Graphics -16GB memory - 512GB NVMe SSD - Gray",409,,,ACEMAGIC,AMD Ryzen 5 7430U,Ryzen 5,Ryzen 5 7430U,Radeon RX,16,512GB,15.6,,,,Gray,https://www.bestbuy.com/product/acemagic-lx15pro-15-6-gaming-laptop-amd-ryzen-5-7430u8c-16t-radeon-rx-vega-8-graphics-16gb-memory-512gb-nvme-ssd-gray/JXTPXQR7RG
20251113,"ACEMAGIC - RX16 - 16"" Gaming Laptop - AMD Ryzen 7 7735HS(8C/16T, Up to 4.7GHz) - AMD Radeon 680M - 16GB DDR5 - 512GB SSD - Gray",549,,,ACEMAGIC,AMD Ryzen 7 7735HS,Ryzen 7,Ryzen 7 7735HS,Radeon 680M,16,512GB,16,,,,Gray,https://www.bestbuy.com/product/acemagic-rx16-16-gaming-laptop-amd-ryzen-7-7735hs8c-16t-up-to-4-7ghz-amd-radeon-680m-16gb-ddr5-512gb-ssd-gray/JXTPXQR79K
20251113,"MSI - THIN A15 15.6"" 144Hz FHD Gaming Laptop - AMD R5-7535HS - GeForce RTX 4050 - 8GB Memory - 512GBSSD - Black",549.99,4.6,27,MSI,AMD R5-7535HS,Ryzen 5,Ryzen 5 7535HS,RTX 4050,8,512GB,15.6,FHD,,144,Black,https://www.bestbuy.com/product/msi-thin-a15-15-6-144hz-fhd-gaming-laptop-amd-r5-7535hs-geforce-rtx-4050-8gb-memory-512gbssd-black/J3P7TXRLYJ/sku/6621164
20251113,"HP - Victus 15.6"" 144Hz Full HD Gaming Laptop - AMD Ryzen 7 7445HS - 16GB Memory - NVIDIA GeForce RTX 4050 - 512GB SSD - Mica Silver",549.99,4.6,387,HP,AMD Ryzen 7 7445HS,Ryzen 7,Ryzen 7 7445HS,RTX 4050,16,512GB,15.6,FULLHD,,144,Mica Silver,https://www.bestbuy.com/product/hp-victus-15-6-144hz-full-hd-gaming-laptop-amd-ryzen-7-7445hs-16gb-memory-nvidia-geforce-rtx-4050-512gb-ssd-mica-silver/JJGH2L8JVV/sku/6623881
20251113,"HP OMEN - 16"" 2K 144Hz Gaming Laptop - AMD Ryzen 9 8940HX - 32GB DDR5 Memory - NVIDIA GeForce RTX 5060 - 1TB SSD - Shadow Black",1149.99,4.5,210,HP,AMD Ryzen 9 8940HX,Ryzen 9,Ryzen 9 8940HX,RTX 5060,32,1TB,16,2K,,144,Shadow Black,https://www.bestbuy.com/product/hp-omen-16-2k-144hz-gaming-laptop-amd-ryzen-9-8940hx-32gb-ddr5-memory-nvidia-geforce-rtx-5060-1tb-ssd-shadow-black/JJGH2L954G
20251113,"HP OMEN - 16"" 2K 144Hz Gaming Laptop - Intel Core Ultra 7 255H with AI Boost - 16GB Memory - NVIDIA GeForce RTX 5060 - 1TB SSD - Shadow Black",1479.99,3.9,12,HP,Intel Core Ultra 7 255H,Core Ultra 7,Core Ultra 7 255H,RTX 5060,16,1TB,16,2K,,144,Shadow Black,https://www.bestbuy.com/product/hp-omen-16-2k-144hz-gaming-laptop-intel-core-ultra-7-255h-with-ai-boost-16gb-memory-nvidia-geforce-rtx-5060-1tb-ssd-shadow-black/JJGH2YRCT5/sku/6633213
20251113,"Acer - Predator Helios Neo 16S AI Gaming Laptop - 16"" OLED 240Hz - Intel Core Ultra 9 - NVIDIA GeForce RTX 5070Ti ??32GB ??1TB - Obsidian Black",1899.99,4.4,174,Acer,Intel Core Ultra 9,Core Ultra 9,Core Ultra 9,RTX 5070 Ti,32,1TB,16,,OLED,240,Obsidian Black,https://www.bestbuy.com/product/acer-predator-helios-neo-16s-ai-gaming-laptop-16-oled-240hz-intel-core-ultra-9-nvidia-geforce-rtx-5070ti-32gb-1tb-obsidian-black/JJ8V8H38XT
20251113,"Lenovo - Legion Pro 5 16"" 2.5K Gaming Laptop - AMD Ryzen 9 8945HX - NVIDIA GeForce RTX 5060 - 16GB Memory - 1TB SSD - Eclipse Black",1199.99,4.5,30,Lenovo,AMD Ryzen 9 8945HX,Ryzen 9,Ryzen 9 8945HX,RTX 5060,16,1TB,16,2.5K,,,Eclipse Black,https://www.bestbuy.com/product/lenovo-legion-pro-5-16-2-5k-gaming-laptop-amd-ryzen-9-8945hx-nvidia-geforce-rtx-5060-16gb-memory-1tb-ssd-eclipse-black/JJGSH8VF2H
20251113,"HP - Victus 15.6"" 144Hz Full HD Gaming Laptop - Intel Core i5 - 8GB Memory - NVIDIA GeForce RTX 3050 - 512GB SSD - Mica Silver",625,4.6,222,HP,Intel Core i5,Core i5,Core i5,RTX 3050,8,512GB,15.6,FULLHD,,144,Mica Silver,https://www.bestbuy.com/product/hp-victus-15-6-144hz-full-hd-gaming-laptop-intel-core-i5-8gb-memory-nvidia-geforce-rtx-3050-512gb-ssd-mica-silver/JJGQJH2LFP
